num,type,ra,dec,tic,hip,sdss,apass,kic,dis,teff,lum,mass,rad,mas_IHZ,mas_OHZ,AU_IHZ,AU_OHZ,TRp_IHZ,TRp_OHZ,TRt_IHZ,TRt_OHZ,TRD,Ast_max_IHZ,Ast_max_OHZ,RV_max_IHZ,RV_max_OHZ,RV_E_IHZ,RV_E_OHZ,BR_IR_IHZ,BR__IR_OHZ,RR_IHZ,RR_OHZ,MDTV_IHZ,MDTV_OHZ,MDTIR_IHZ,MDTIR_OHZ,Detect_TR,Detect_RV,Tplanet,500nm,4000nm,7500nm,11000nm,tmag,RVE,MEAN,STD
1728,1,69.88139817,16.25839746,0,0,0,0,0,11.90549891,3369,0.001241062,0.139951,0.10369324,3.170677852,6.370662504,0.037748502,0.075845916,0.013734749,0.006835783,0.700092868,0.992366038,0.007774573,0.067966885,0.136561993,1.230879894,0.868359256,0.966730808,0.682007765,8.66E-05,2.07E-05,3.60E-07,8.91E-08,46.56302864,23.17441295,802.8108386,399.558844,0.009128375,0,0.858755022,7.94E-08,1.34E-07,7.50E-06,3.86E-05,13.54909,1.003464565,,
2164,1,138.5693619,-41.57480208,0,0,0,0,0,12.1270331,3803.4,0.001358933,0.13957,0.085135499,3.237471488,6.339491703,0.039260924,0.076879226,0.010842269,0.005536964,0.58700021,0.821414754,0.011533366,0.069588124,0.136264778,1.20858512,0.863680274,0.949220534,0.678332901,0.00011085,2.65E-05,3.33E-07,8.67E-08,45.60236721,23.28835979,786.2477105,401.5234446,0.007330411,0,0.713894756,7.60E-08,1.42E-07,9.49E-06,4.96E-05,13.25048,0.993759534,,
1979,1,267.8976426,37.82801852,0,0,0,0,0,14.79040517,3576.04,0.00110403,0.152315,0.086804363,2.401128019,4.765011859,0.035513656,0.070476456,0.012221265,0.006158394,0.544893043,0.767601117,0.011094158,0.047292677,0.093851791,1.216422681,0.86349569,0.955376139,0.678187929,0.000114871,2.75E-05,4.06E-07,1.03E-07,61.4862525,30.98341998,1060.107802,534.1968963,0.008189855,0,0.665627487,9.13E-08,1.62E-07,9.89E-06,5.13E-05,14.066806,0.995782579,,
1416,1,193.6296548,44.99190694,0,0,0,0,0,18.54888373,3835.86,0.001361108,0.140453,0.08376766,2.117064726,4.137790149,0.039269187,0.076751388,0.010665825,0.005457078,0.5758113,0.805002717,0.011913097,0.045219356,0.088380956,1.204653294,0.861677812,0.946132485,0.676760171,0.000113338,2.71E-05,3.32E-07,8.70E-08,69.73634856,35.68000269,1202.350837,615.1724601,0.007220069,0,0.699852852,7.62E-08,1.44E-07,9.69E-06,5.07E-05,14.157791,0.991141178,,
1667,1,85.55220114,-5.461181587,0,0,0,0,0,12.97289443,3668.07,0.001339765,0.140163,0.090885521,3.01166628,5.94414608,0.039070029,0.07711278,0.011631105,0.005893026,0.623796921,0.876364023,0.010120175,0.064460655,0.127226431,1.208968492,0.860545165,0.949521633,0.675870592,0.000101609,2.43E-05,3.36E-07,8.62E-08,49.0214884,24.83727042,845.1980759,428.2288004,0.007822631,0,0.760636739,7.59E-08,1.38E-07,8.73E-06,4.54E-05,13.475401,0.991473043,,
108,2,97.69447072,-76.71691328,0,0,0,0,0,8.881089319,2858.222006,0.001113979,0.145230989,0.136490473,4.047531623,8.385914268,0.03594649,0.074476054,0.01898523,0.00916338,0.882763337,1.270645409,0.004487172,0.083608842,0.173225721,1.238213824,0.860231942,0.972490863,0.675624587,6.14E-05,1.47E-05,3.97E-07,9.24E-08,36.47565415,17.60527939,628.8905887,303.5392998,0.012360743,0,1.094031733,8.41E-08,1.25E-07,5.42E-06,2.73E-05,13.44563,0.999102434,,
2488,2,6.183609707,-27.13725776,0,0,0,0,0,7.732953284,2858.600296,0.001115629,0.145305584,0.136555344,4.651904049,9.637872017,0.035972957,0.074529214,0.018980278,0.009161196,0.883281162,1.271376476,0.00448291,0.096043881,0.198984893,1.237440484,0.859704336,0.971883484,0.675210206,6.13E-05,1.47E-05,3.96E-07,9.23E-08,31.73676027,15.31835693,547.185522,264.1096023,0.012357707,0,1.09466519,8.40E-08,1.25E-07,5.42E-06,2.73E-05,13.142607,0.998486002,,
1881,1,297.0925248,-8.382722347,0,0,0,0,0,19.55546517,3373.25,0.001301124,0.13975,0.105905397,1.976395527,3.970043436,0.038649334,0.077636046,0.013700805,0.006820633,0.72402997,1.026165103,0.007453174,0.042427095,0.085224546,1.217325235,0.858906574,0.956085004,0.674583646,8.29E-05,1.98E-05,3.43E-07,8.50E-08,74.69980662,37.18759404,1287.9277,641.1654145,0.00910737,0,0.888041163,7.58E-08,1.28E-07,7.18E-06,3.70E-05,14.561089,0.992498985,,
416,1,331.5401177,-7.3932234,50185152,0,0,4940433,0,15.39626918,2877.3,0.001509848,0.125538,0.153612,2.717575539,5.624049998,0.041840525,0.086589388,0.018356844,0.00887014,1.152867651,1.658491413,0.003542641,0.064942301,0.134398748,1.234432585,0.858091506,0.969521085,0.673943493,4.80E-05,1.15E-05,2.93E-07,6.84E-08,54.32649856,26.25089814,936.6637683,452.6016921,0.011960765,0,1.428232752,6.22E-08,9.44E-08,4.24E-06,2.14E-05,12.6748,0.996432404,,
375,1,220.441658,-14.45482067,466516016,0,0,6240304,0,17.70159013,2955,0.001579306,0.123773,0.151625,2.415505894,4.975795042,0.042758295,0.088079484,0.017730478,0.008607282,1.158540975,1.662794538,0.0036361,0.058546837,0.120602919,1.229788394,0.85684684,0.965873546,0.672965934,4.77E-05,1.14E-05,2.80E-07,6.61E-08,61.12026637,29.67090935,1053.797696,511.5674026,0.011588778,0,1.433021784,5.99E-08,9.15E-08,4.19E-06,2.12E-05,12.8914,0.994234883,,
