Num,da,RUWE,IHZ,OHZ,f_STB,a_STB,a_STB_I,a_STB_O,type,ra,dec,plx,e_plx,GAIAmag,e_GAIAmag,pmRA,pmDEC,e_pmRA,e_pmDEC,MASS,massSrc,RAD,radSrc,TEFF,TeffSrc,MH,mhSrc,LOGG,loggSrc,lum,e_lum,Tmag,e_Tmag,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,d,e_d,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_Teff,epos_Teff,gaiabp,e_gaiabp,gaiarp,e_gaiarp,_RAJ2000,_DEJ2000,FG,e_FG,FBP,e_FBP,FRP,e_FRP,BP-RP,RV,e_RV,PM,RAJ2000,DEJ2000,AG,E(BP-RP),B-V,PS1,SDSSDR13,SkyMapper2,URAT1,TIC,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,APASS,KIC
1322,,1.387,0.110394152,0.226332372,,,,,I,127.8848217,73.06392994,68.214,0.0236,11.658877,0.002809,611.233,273.207,0.021,0.023,0.321366,I/349/starhorse,0.37268847,Estimated,3033.9,GAIA DR3,-0.7086,GAIA DR3,4.3345,GAIA DR3,0.010543519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.216537,0.003456,10.440895,0.003871,08 31 30.1192214641,+73 03 45.775727700,408690,205.47,70600,132.65,528200,406.89,3,,,669.513,127.8754968,73.06271548,,,,1.96E+17,,,816069235,,,,,,,,,
1323,,1.044,0.223356003,0.444406438,,,,,I,146.7036352,76.03947043,63.3251,0.0153,9.792734,0.002774,87.367,-1000.44,0.015,0.016,0.550491,I/349/starhorse,0.559247967,Estimated,3532.2,GAIA DR3,-0.4036,GAIA DR3,4.5683,GAIA DR3,0.043619293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.867223,0.002877,8.757159,0.003796,09 46 48.4860571976,+76 02 38.100557513,2279600,674.57,614510,397.8,2490500,818.53,2,-28.46,0.34,1004.248,146.7020253,76.04391669,0.2647,0.1423,,,,,831046737,,,,,,,,,
1324,,1.285,0.106240096,0.217524005,,,,,I,176.939408,78.69329745,190.3251,0.0194,9.551337,0.002809,748.418,480.804,0.024,0.026,0.293991,I/349/starhorse,0.353525103,Estimated,3056.2,GAIA DR3,-0.7508,GAIA DR3,4.4017,GAIA DR3,0.009769138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.049281,0.00302,8.347287,0.003807,11 47 41.3869146128,+78 41 28.176224047,2847200,1426.7,519640,553.62,3632800,1528.7,3,,,889.552,176.9224455,78.69116006,0.007,0.006,,,,,844038851,,,,,,,,,
1325,,1.278,0.066283921,0.136021541,,,,,I,150.2915838,81.15484257,50.4144,0.0166,13.544994,0.002805,-163.05,-320.699,0.019,0.019,0.222731,I/349/starhorse,0.226014046,Estimated,3018.6,GAIA DR3,-0.0112,GAIA DR3,5.0265,GAIA DR3,0.003799984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.487366,0.003434,12.240324,0.003865,10 01 11.1113630323,+81 09 22.564337510,71936,34.807,8719,16.082,100700,74.968,3,,,359.769,150.2962973,81.15626787,0.6133,0.37,,2.05E+17,1.24E+18,,856023933,,,,,,,,,
1326,,1.312,0.058950199,0.120856561,,,,,I,123.4272303,79.30137045,66.7154,0.0168,13.193779,0.002792,-350.864,-407.828,0.015,0.018,0.160073,I/349/starhorse,0.198937164,Estimated,3034.5,GAIA DR3,-0.2297,GAIA DR3,5.084,GAIA DR3,0.003006554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.087528,0.003862,11.898415,0.003874,08 13 44.5516085183,+79 18 11.458473505,99411,41.092,12601,30.996,137970,107.95,3,,,537.987,123.4356317,79.30318291,0.1548,0.0917,,2.03E+17,,,847030019,,,,,,,,,
1327,,1.234,0.125889591,0.257063691,,,,,I,105.874906,76.77275818,59.3086,0.0229,11.566343,0.002779,12.742,-233.402,0.018,0.027,0.348817,I/349/starhorse,0.407094562,Estimated,3100.9,GAIA DR3,-0.8369,GAIA DR3,4.2573,GAIA DR3,0.013728728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.989877,0.002989,10.393976,0.003818,07 03 29.9180383097,+76 46 25.663886433,445050,148.67,86989,85.841,551530,276.85,3,,,233.749,105.8746585,76.77379552,0.2275,0.1215,,2.00E+17,,,834037904,,,,,,,,,
1328,,0.984,1.303198186,2.328069949,,,,,I,101.5565249,79.56212609,54.938,0.0595,5.300416,0.002831,-99.163,-604.042,0.054,0.073,1.059611,I/349/starhorse,1.19,GAIA,6105.6,GAIA DR3,-0.5909,GAIA DR3,4.1922,GAIA DR3,1.834739464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.569801,0.002922,4.880414,0.004161,06 46 14.1499573679,+79 33 53.318557072,142820000,85569,80816000,64549,88510000,141880,1,15.29,0.16,612.128,101.5589582,79.56481075,0.113,0.0468,,,,,848025751,,,,,,,,,
1329,,1.075,0.17143774,0.346931109,,,,,I,92.58432175,82.10081629,105.6903,0.0142,9.470075,0.002774,50.263,-1336.246,0.017,0.016,0.449502,I/349/starhorse,0.505296068,Estimated,3250.4,GAIA DR3,-0.713,GAIA DR3,4.2872,GAIA DR3,0.025534522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.719857,0.003097,8.35686,0.003802,06 10 19.8468098360,+82 06 24.318574744,3068400,913.51,703840,871.65,3600900,1376.7,2,,,1337.191,92.58269504,82.10675516,0.2315,0.131,,,,,861014157,,,,,,,,,
1330,,1.026,0.083723721,0.166085602,,,,,I,118.9634552,83.38204366,76.3854,0.019,11.735672,0.002837,-291.529,-599.141,0.025,0.025,0.300235,I/349/starhorse,0.203929221,Estimated,3582.44,GAIA,0.101795,I/349/starhorse,4.934827,I/349/starhorse,0.006137101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.387482,0.004407,10.497326,0.003992,07 55 53.9285288153,+83 23 04.942992438,380780,236.82,60315,189.53,501450,593.83,3,,,666.303,118.9747022,83.38470639,0.2033,0.1208,,2.08E+17,1.24E+18,,867013743,,,,,,,,,
1331,,1.342,0.107815455,0.219021354,,,,,I,128.0582775,84.40965991,51.921,0.0188,12.220233,0.002797,353.597,249.021,0.022,0.023,0.299756,I/349/starhorse,0.330398779,Estimated,3186.7,GAIA DR3,-0.3963,GAIA DR3,4.714,GAIA DR3,0.010086261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.686011,0.003305,11.035982,0.003884,08 32 10.1155793335,+84 24 30.790548212,243700,107.36,45816,74.712,305330,252.3,3,,,432.484,128.0421482,84.40855293,0.121,0.0748,,2.09E+17,1.24E+18,,873011604,,,,,,,,,
